map01100 Metabolic pathways (2020)

  ko:K00491 nos; nitric-oxide synthase, bacterial [EC:1.14.14.47]
  ko:K00495 CYP71AN24; phenylacetaldehyde oxime monooxygenase [EC:1.14.14.44]
  ko:K00499 CMO; choline monooxygenase [EC:1.14.15.7]
  ko:K00500 phhA; phenylalanine-4-hydroxylase [EC:1.14.16.1]
  ko:K00505 TYR; tyrosinase [EC:1.14.18.1]
  ko:K00507 SCD; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
  ko:K00508 E1.14.19.3; linoleoyl-CoA desaturase [EC:1.14.19.3]
  ko:K00510 HMOX1; heme oxygenase 1 [EC:1.14.14.18]
  ko:K00514 ZDS; zeta-carotene desaturase [EC:1.3.5.6]
  ko:K00523 ascD; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]
  ko:K00524 nrdJ; ribonucleotide reductase, class II [EC:1.17.4.2]
  ko:K00525 E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
  ko:K00526 E1.17.4.1B; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
  ko:K00527 rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]
  ko:K00529 hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
  ko:K00531 anfG; nitrogenase delta subunit [EC:1.18.6.1]
  ko:K00543 ASMT; acetylserotonin O-methyltransferase [EC:2.1.1.4]
  ko:K00544 BHMT; betaine-homocysteine S-methyltransferase [EC:2.1.1.5]
  ko:K00545 COMT; catechol O-methyltransferase [EC:2.1.1.6]
  ko:K00547 mmuM; homocysteine S-methyltransferase [EC:2.1.1.10]
  ko:K00548 metH; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
  ko:K00549 metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
  ko:K00551 PEMT; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
  ko:K00558 DNMT1; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
  ko:K00560 thyA; thymidylate synthase [EC:2.1.1.45]
